Name,Year,Country,Genre,Rating,Metascore,Runtime,Sound_mix,Color,Budget,Gross,Director,Stars
Can Can,1898,USA, ,5.9,0,0 min,Silent, Black and White,0,0,,Mlle. Fraidora
"Torpedo Boat, 'Dupont'",1898,USA, ,3.7,0,0 min,Silent, Black and White,0,0,,
Bombardment of Matanzas,1898,USA, ,3.8,0,0 min,Silent, Black and White,0,0,Edward Amet ,
Pea-Hulling Machine,1898,USA, ,4.3,0,0 min,Silent, Black and White,0,0,,
Freedom of Cuba,1898,USA, ,4.4,0,0 min,Silent, Black and White,0,0,Edward Amet ,
S.S. 'Coptic',1898,USA, ,3.6,0,0 min,Silent, Black and White,0,0,,
Highland Fling,1898,UK, ,4.2,0,0 min,Silent, Black and White,0,0,,
The Telephone,1898,USA, ,4.2,0,0 min,Silent, Black and White,0,0,,
Highland Cross Sword Dance,1898,UK, ,4.2,0,0 min,Silent, Black and White,0,0,,
Masked Procession,1898,USA, ,3.6,0,0 min,Silent, Black and White,0,0,James H. White ,
The Highland Fling,1898,UK, ,5,0,0 min,Silent, Black and White,0,0,,
The Startled Lover,1898,USA, Romance,4.1,0,0 min,Silent, Black and White,0,0,,
Thrilling War Scene,1898,USA, ,0,0,0 min,Silent, Black and White,0,0,,
Josephina Ruiz,1898,Portugal, ,0,0,0 min,Silent, Black and White,0,0,,
A Very Laughable Mixup,1898,USA, ,4.4,0,0 min,Silent, Black and White,0,0,,
Cake Walk,1898,USA, ,3.9,0,0 min,Silent, Black and White,0,0,,
Tub Race,1898,USA, ,4.7,0,0 min,Silent, Black and White,0,0,,
Firing Broadside at Cabanas,1898,USA, ,5.4,0,0 min,Silent, Black and White,0,0,,
The Wrestlers,1899,India, ,4,0,0 min,Silent, Black and White,0,0,Harishchandra Sakharam Bhatavdekar ,
Lady Contortionist,1899,USA, ,4.3,0,0 min,Silent, Black and White,0,0,,Mlle. De La Roy
Around the Big Curves on the Manhattan Elevated R.R.,1899,USA, ,5.5,0,0 min,Silent, Black and White,0,0,,
Reproduction of the Corbett and Jeffries Fight,1899,USA," News, Sport",4.5,0,0 min,Silent, Black and White,0,0,,
Soldiers of the Cross,1900,Australia," Biography, Drama",6.1,0,0 min,Silent, Black and White,0,0,,"Beatrice Day,Harold Graham,Mr. Graham"
X Rays,1900,France, ,4.1,0,0 min,Silent, Black and White,0,0,,
"Pierrot's Problem, or How to Make a Fat Wife Out of Two Lean Ones",1900,USA," Comedy, Fantasy",3.8,0,0 min,Silent, Black and White,0,0,,
Caught,1900,USA, ,4.8,0,0 min,Silent, Black and White,0,0,,
Boarding School Girls' Pajama Parade,1900,USA, ,4.4,0,0 min,Silent, Black and White,0,0,,
Family Troubles,1900,USA, Comedy,4.9,0,0 min,Silent, Black and White,0,0,,
Phono-CinÌ©ma-ThÌ©Ì¢tre,1900,, ,5.3,0,0 min,,,0,0,,
After Dark in Central Park,1900,USA, ,4,0,0 min,Silent, Black and White,0,0,,
May Day Parade,1900,USA, News,0,0,66 min,Silent, Black and White,0,0,,
Trouble in Hogan's Alley,1900,USA, Comedy,4,0,0 min,Silent, Black and White,0,0,,
The Tribulations of an Amateur Photographer,1900,USA, ,3.8,0,0 min,Silent, Black and White,0,0,,
Buffalo Bill's Wild West Parade,1900,USA, ,4,0,0 min,Silent, Black and White,0,0,,
Forward,1901,USA, ,4.6,0,0 min,Silent, Black and White,0,0,,
Snow White,1902,USA, ,4.8,0,0 min,Silent, Black and White,0,0,,
Sr. Wrangler Mr. R.P. Paranjpe,1902,India, ,4,0,0 min,Silent, Black and White,0,0,Harishchandra Sakharam Bhatavdekar ,R.P. Paranjpye
Who Said Watermelon,1903,USA, ,4.1,0,0 min,Silent, Black and White,0,0,,
The Three Musketeers,1903,France, ,4.2,0,0 min,Silent, Black and White,0,0,,
The Divorce,1903,USA, Drama,3.6,0,0 min,Silent, Black and White,0,0,,
"Pica, pica Compadrito",1903,Argentina, ,3.9,0,0 min,Silent, Black and White,0,0,Eugene Py ,
Alibaba and the Forty Thieves,1903,India, ,4.6,0,0 min,Silent, Black and White,0,0,Hiralal Sen ,
TÌ«kyÌ«za katsudÌ« daishashin,1903,Japan, ,4.1,0,0 min,Silent, Black and White,0,0,,
Reliance: Shamrock III,1903,France, ,4.5,0,0 min,Silent, Black and White,0,0,,
Massacres de MacÌ©donie,1903,France, ,6.5,0,0 min,Silent, Black and White,0,0,Lucien Nonguet ,
Der Specht,1903,Germany, ,4.6,0,0 min,Silent, Black and White,0,0,,
ElÌ_mÌ_Ì_ esplanaadikadulla,1904,Finland, ,4.2,0,0 min,Silent, Black and White,0,0,Frans EngstrÌ_m ,
The Bengali Fisherman,1904,India, ,4.4,0,0 min,Silent, Black and White,0,0,Hiralal Sen ,
Abajo la careta,1904,Argentina, ,5.2,0,0 min,Silent, Black and White,0,0,Eugene Py ,
Los polÌ_ticos,1904,Argentina, ,4.8,0,0 min,Silent, Black and White,0,0,Eugene Py ,
Asahi katsudÌ« daishashin,1904,Japan, ,5.2,0,0 min,Silent, Black and White,0,0,,
Halfaouine,1905,, ,3.5,0,0 min,,,0,0,,
Ensalada criolla,1905,Argentina, ,3.9,0,0 min,Silent, Black and White,0,0,Eugene Py ,
Valsons,1905,France, Music,3.6,0,0 min,Chronophone, Black and White,0,0,Alice Guy ,Armand Dranem
La course aux tonneaux,1905,France, ,4.9,0,0 min,Silent, Black and White,0,0,Ferdinand Zecca ,
ValtiopÌ_ivÌ_kuvia,1905,Finland, ,3,0,0 min,Silent, Black and White,0,0,Frans EngstrÌ_m ,
Eine Fliegenjagd oder Die Rache der Frau Schultze,1905,Germany, ,5.3,0,0 min,Silent, Black and White,0,0,,"Frida Cotrelli,Eugen Skladanowsky"
Bohemios,1905,Spain, ,0,0,100 min,Silent, Black and White,0,0,Ricardo de BaÌ±os ,"Antonio del Pozo,El Mochuelo"
La malia dell'oro,1905,Italy, Fantasy,4.2,0,0 min,Silent, Black and White,0,0,Filoteo Alberini ,
KedÌ©lyes bohÌ©mek,1905,Hungary, ,3,0,0 min,Silent, Black and White,0,0,,
The Story of the Kelly Gang,1906,Australia," Biography, Crime, Drama, History, Western",6.4,0,70 min,Silent, Black and White,"$2,250 ",0,Charles Tait ,"Elizabeth Tait,John Tait,Norman Campbell"
The Joe Gans-Battling Nelson Fight,1906,USA," News, Sport",3.3,0,0 min,Silent, Black and White,0,0,,"Joe Gans,Battling Nelson"
Holger Drachmann,1906,Denmark, ,3.3,0,0 min,Silent, Black and White,0,0,,"Holger Drachmann,Sophie Drachmann,Jacob Hegel"
Highlights from The Mikado,1906,UK, Musical,3.1,0,0 min,Chronophone, Black and White,0,0,Arthur Gilbert ,"Albert Gater,Marie Grey,James Rouse"
Krybskytten,1906,Denmark, ,3.1,0,0 min,Silent, Black and White,0,0,,
Cavalleria infernale,1906,Italy, ,3.2,0,0 min,Silent, Black and White,0,0,Arturo Ambrosio ,
Lika mot lika,1906,Sweden, Comedy,3.6,0,0 min,Silent, Black and White,0,0,Knut Lambert ,"Knut Lambert,Helfrid Lambert,Tollie Zellman"
El pechador,1906,Argentina, ,3.8,0,0 min,Silent, Black and White,0,0,Eugene Py ,
Un soulier pour un jambon,1906,France, ,4.6,0,0 min,Silent, Black and White,0,0,Alice Guy ,
Primi calori,1906,Italy, ,0,0,0 min,Silent, Black and White,0,0,Arturo Ambrosio ,
RÌ©actions de Suzanne,1906,Belgium, ,3.2,0,0 min,Silent, Black and White,0,0,Ovide Decroly ,
Impersonation of Nelson-McGovern Fight,1906,USA," Drama, Sport",3.4,0,0 min,Silent, Black and White,0,0,,
En jernbaneulykke,1906,Denmark, ,0,0,0 min,Silent, Black and White,0,0,,
El soldado de la Independencia,1906,Argentina, ,3.6,0,0 min,Silent, Black and White,0,0,Eugene Py ,
SÌünnens hÌ_vn,1906,Denmark, ,0,0,0 min,Silent, Black and White,0,0,Viggo Larsen ,
Vappu HelsingissÌ_,1906,Finland, ,4,0,0 min,Silent, Black and White,0,0,Oscar LindelÌ_f ,
Life and Passion of Christ,1907,France, Drama,6.1,0,45 min,Silent, Black and White,0,0,Ferdinand Zecca ,
Robbery Under Arms,1907,Australia, Drama,5.1,0,0 min,Silent, Black and White,"AUDåÊ1,000        ",0,Charles MacMahon ,"Jim Gerald,George Merriman,Lance Vane"
Tom Sawyer,1907,USA, ,6.4,0,0 min,Silent, Black and White,0,0,,
"The Lady Athlete; or, Jiu Jitsu Downs the Footpads",1907,UK, Comedy,0,0,57 min,Silent, Black and White,0,0,Alf Collins ,Madame Garrud
Komm du kleines KohlenmÌ_dchen,1907,Germany, ,5,0,0 min,Silent, Black and White,0,0,,"Joseph Giampietro,Fritzi Massary"
Violante,1907,Spain, Drama,0,0,0 min,Silent, Black and White,0,0,,"Enrique JimÌ©nez,Margarita Xirgu"
"DejÌÁ Ì© jugar, chÌ©, chÌ©",1907,Argentina, ,4.4,0,0 min,Silent, Black and White,0,0,Eugene Py ,
El ciego de la aldea,1907,Spain, Drama,4.8,0,75 min,Silent, Black and White,0,0,,
Why Girls Leave Home,1907,USA, ,3.9,0,0 min,Silent, Black and White,0,0,,
El grito de Dolores o La independencia de MÌ©xico,1907,Mexico, Drama,5.3,0,0 min,Silent, Black and White,0,0,Felipe de JesÌ_s Haro ,Felipe de JesÌ_s Haro
Mister Wiskey,1907,Argentina, ,3.5,0,0 min,Silent, Black and White,0,0,Eugene Py ,
Los tocayos,1907,Argentina, ,0,0,0 min,Silent, Black and White,0,0,Eugene Py ,
Faust,1907,UK, Music,4.6,0,0 min,Chronophone, Black and White,0,0,Arthur Gilbert ,
Balett ur op. Mignon/JÌ_ssehÌ_radspolska,1907,Sweden, ,3.2,0,0 min,Silent, Black and White,0,0,,"Robert KÌ_ller,Victoria Strandin,Oscar Tropp"
Belles of Killarney,1907,Ireland, ,0,0,0 min,Silent, Black and White,0,0,Arthur Melbourne Cooper ,Kate O'Connor
The Fairylogue and Radio-Plays,1908,USA," Fantasy, Adventure",6,0,120 min,Silent,Color,0,0,,"L. Frank Baum,Frank Burns,George E. Wilson"
Hamlet,1908,Italy, Drama,3.1,0,0 min,Silent, Black and White,0,0,Mario Caserini ,Fernanda Negri Pouget
Don Quijote,1908,Spain, Drama,4.7,0,0 min,Silent, Black and White,0,0,Narciso CuyÌÊs ,
Gans-Nelson Fight,1908,USA, Sport,4.4,0,0 min,Silent, Black and White,0,0,,"Joe Gans,Battling Nelson"
Resa Stockholm-GÌ_teborg genom GÌ_ta och TrollhÌ_tte kanaler,1908,Sweden, ,5.3,0,0 min,Silent, Black and White,0,0,Charles Magnusson ,
Don ÌÅlvaro o la fuerza del sino,1908,Spain, Drama,4,0,0 min,Silent, Black and White,0,0,Narciso CuyÌÊs ,"Jaime BorrÌÁs,JoaquÌ_n Carrasco"
Taikoki judanme,1908,Japan, ,5.8,0,0 min,Silent, Black and White,0,0,,"Sakiji Ichikawa,Kasen Nakamura,Utae Nakamura"
"Donnerwetter, tadellos",1908,Germany, ,5.3,0,0 min,Silent, Black and White,0,0,,"Henry Bender,Fritzi Massary"
L'uomo dalla testa dura,1908,Italy, ,0,0,0 min,Silent, Black and White,0,0,Edoardo Bencivenga ,Felice Minotti
Hiawatha,1908,USA, ,0,0,0 min,Silent, Black and White,0,0,,
Le devoir,1908,France, ,0,0,0 min,Silent, Black and White,0,0,Louis Feuillade ,"Alice Tissot,Maurice Vinot,RenÌ©e Carl"
Os Guaranis,1908,Brazil, Romance,2.9,0,0 min,Silent, Black and White,0,0,Benjamin Oliveira ,"Inez Grizeta,Benjamin Oliveira"
La glu,1908,Italy, ,4.4,0,0 min,Silent, Black and White,0,0,Giovanni Pastrone ,
Cuisine magnÌ©tique,1908,France, ,5.9,0,0 min,Silent, Black and White,0,0,Segundo de ChomÌ_n (as Chomont)            ,
I promessi sposi,1908,Italy, ,3.5,0,0 min,Silent, Black and White,0,0,Mario Morais ,
The Reg Girl,1908,USA, ,0,0,0 min,Silent, Black and White,0,0,,Florence Lawrence
Los carreros,1908,Argentina, ,4.6,0,0 min,Silent, Black and White,0,0,Eugene Py ,
Poum ÌÊ la chasse,1908,France, ,0,0,0 min,Silent, Black and White,0,0,RenÌ© Le Somptier ,"AndrÌ© Le Somptier,Alice Tissot"
Trallala Lied,1908,Germany, ,5.8,0,0 min,Silent, Black and White,0,0,,Fritzi Massary
